id,dialogue,options
20,A:奕瑄 你怎麼了	B:媽 你可不可以叫爸不要再來學校接我啦	A:可是你以前不是都吵著要爸爸去學校接你嗎,B:那是以前 現在我不喜歡	B:因為我要接送小孩	B:直接送到需要幫助的人身上	B:它的電直接送到輪胎那邊的馬達	B:直接送訓導處去處理就好啦	B:直接送警察局
21,A:你不要生氣嘛 媽媽只是替你 跟謝秀菁把事情說清楚而已,B:不過我真的沒有惡意喔 我不是來興師問罪的	B:同學被欺負 你還幸災樂禍	B:你不要管我了 我已經不是三歲小孩了	B:改天你倒楣 我就在旁邊給你拍拍手	B:你來學校幹嘛	B:吃晚餐的時候 一碗飯吃了半個小時
22,A:你現在在選什麼魚,B:這樣工程感覺很浩大	B:我的專長是平面設計	B:我在選狗母魚	B:用來記事的便利貼	B:不是以電腦繪圖做成的	B:只有半個小時的時間
23,A:我工作服穿好了以後 要開始怎麼做呢	B:開始我們今天要做的是對稱	A:什麼叫對稱,B:一個盤子然後你什麼都要一樣	B:別的國小好像都沒有	B:他們都會很興奮	B:要開始怎麼做呢	B:讓他們對學校更有 自己的感情在	B:我看我來不及回家了
24,A:那不是鹽啦	B:原來是這樣喔	A:來 我再跟你解釋一下,A:因為在古時候沒有冰箱對不對 所以吃的東西如果想要保存久一點	A:就是那個曬鹽的地方喔	A:嘉義是嘉義的意思嗎	A:回味一下他那個年代搭火車的情況	A:那它的生日是什麼時候	A:可以看到蒸汽火車行駛冒煙的樣子
25,A:對不起	B:不好意思	A:我剛才叫你番茄,A:一定是有進步啦	A:這個經驗非常有趣	A:這孩子應該是有天分	A:其實我也說錯了	A:看起來好像學生的年紀	A:我媽非常無法忍受
26,A:我們現在就要每五分鐘做一次記錄 看看哪一鍋的蝦子最先死翹翹,B:會讓蝦活得比較久	B:對 然後這樣就能知道牠們到底在尿液能不能夠存活比較久	B:那有什麼特別的啊	B:王芃她表現得真好	B:但是今天老師不上課	B:好腥喔我這個味道好奇怪
27,A:那如果我考不上難道你也要配合嗎	B:這是什麼話 我對你有信心,A:受到學生們的熱情感染	A:我們都已經實驗完畢了	A:我們現在來到這邊呢	A:除了要注意魚的顏色之外	A:你都對自己沒信心了	A:再欣賞這個霧濛濛的湖景
28,A:我先生那時候常常喝酒,A:總算是走過來了	A:實在令人欽佩	A:說是因為工作壓力太大	A:我也很欽佩素珍媽媽	A:相處十幾年	A:我常勸他不要喝了
29,A:因為我二十歲就結婚了,A:單親媽媽的呢	A:走出心裡面陰影的一面	A:所以我要去學工作	A:那在這段走出來的階段	A:結婚以後生了兩個孩子	A:有職訓局有很多個職訓
30,A:你的水是要倒掉的嗎	B:對啊,A:我是去跟你的同學道歉	A:這飲料真好喝	A:我正好要去辦公室找你呢	A:我幫你吧	A:她正在嘗試改變她自己	A:也許媽媽太過於呵護你
31,A:你看這天你根本沒有寫說要帶英文作業嘛 還說有寫,B:對不起我不是故意的	B:兩個音節的形容詞 前面就不需要加MORE	B:我給她兩本記事簿啊 很貴又很漂亮呢 是她自己答應要幫我記的	B:以後沒有交作業只要這樣 應一聲就可以打混過去了	B:這份禮物是跟老師賠罪的	B:可是既然你覺得我做得不好 那我就不要做了
32,A:依你的經驗來看蝦子是不是比較適合活在海水裡,B:是不是真的能夠活更久	B:但是每當有外地人嫌我們這裡不好的時候	B:是啊 牠本來就在海洋裡面所以牠應該在海水裡面是最健康的	B:我也會盡力的幫助他們	B:同學們準備好作答了沒有	B:可以請阿輝幫忙啊
33,A:來 媽剛打好的新鮮果菜汁 休息一下嘛 一直盯著課本 會傷眼睛的喔	B:好啦 放在桌子上 我等一下就喝,A:希望她大人大量 不要放在心上	A:誰知道事情的經過是那樣	A:還真讓人傷腦筋呢	A:這種不良的記錄 是沒有辦法被抹掉的	A:我實在很心疼	A:趕快趁鮮喝 要不然維他命C就流失啦
34,A:洪老師 您好 是不是只有澎湖的赤崁才有丁香魚 別的地方沒有,B:真好吃耶	B:在國小的這個階段 我們是注重到學生最基礎的語言素養	B:它曬得很乾 所以身體表面這條銀白色的縱帶 它就會暗暗的 灰灰的	B:這一艘就是丁香魚的捕魚船	B:其實這個丁香魚 台灣沿海四周都有產	B:觀眾朋友您的傳真 是對我們最大的鼓勵跟支持
35,A:老師為什麼他們都有我沒有,B:熱心助人是沒錯	B:全家搬到美國去	B:親善大使是要代表學校出去的耶	B:她總是笑容滿面	B:因為老師覺得他們寫得很認真很精彩啊	B:潘依宸跟同學他們相處的情形
36,A:剛剛珠珠說你是依君的祕書,B:什麼你說我是鬼	B:我知道隔壁班今天也有地理課 我陪你去借	B:我表姊從國外帶回來的 送你一個	B:可是我在乎的不是她的禮物 而是她的心意啊	B:那位大小姐幹嘛給你巧克力	B:我要去廁所 你幫我把音樂課本拿回教室喔
37,A:如果哪一個轉身他沒有轉過去了 他就是會走到今天了	B:是 而在老師的戲裡面 我覺得你是在關心這些人 他們看到了這些片段的時候,B:我們都說這小孩子 就是小時候不學好啦	B:你說扒手集團收留 因為他們實在無路可去了	B:請老師請繼續努力	B:因為他們實在無路可去了	B:是 這個是我覺得很棒的一件事	B:其實它裡面有一個轉折很
38,A:總教練耶 看起來好年輕喔 我一直以為練太極拳的 都是那種白髮蒼蒼的老公公耶,B:這個年紀的孩子狀況總是比較多一點	B:對啊 被你們發現了	B:你這麼 年紀這麼大 你還跟你兒子出去展覽幹嘛	B:這個年紀就懂得正視難題	B:其實練太極拳 不管他的年齡 高矮胖瘦 都是可以習練的	B:小小年紀就要承受生離死別的折磨
39,A:想法奇特的他 會想邀請的來賓是誰呢,A:可能很難想像	A:張秀卿 她的歌真的很好聽	A:這是一個很蠢的問題	A:他這很可愛	A:我要去做我要做的東西	A:該冷靜的時候要冷靜
40,A:而且福馬林聽說有一種很奇怪的味道 我剛剛也有聞到 你幫我聞聞看 怎麼樣	B:感覺有一種化學刺激味 聞起來讓人很不舒服,A:還賴在這裡做什麼	A:不舒服的感覺嗎	A:這個不是基本常識嗎	A:主要目的呢就是說	A:不用麻煩了蕭先生	A:吊白塊和一氧化碳
41,A:你們怎麼會在這裡,B:那我現在帶你過去看縱切面	B:真的存在耶	B:扁柏就是因為太優秀了	B:是你自己跳到我們旁邊來的	B:而是一整片千年神木呢	B:因為它生長速度比較快
42,A:你怎麼可能會聽古典音樂	B:拜託 我也是很有氣質的,A:回去再打電話問問看她好了	A:我還是會繼續努力	A:總要持之以恆慢慢來嘛	A:萬丈高樓平地起	A:你這樣子很難讓我相信你有氣質	A:但我也不會氣餒的
43,A:我發現你們這邊有兩棵這麼大棵的鐵樹啊	B:這個應該也是歷史悠久了	A:從什麼時候開始啊,B:我覺得不能講楷模啦	B:去享受採果的樂趣	B:會想請誰來吃晚餐呢	B:留下來的藏寶圖	B:這樣反而對身體不好喔	B:照我的估計 它大概有一百三十歲左右
44,A:你們現在要做什麼,B:我們現在把網子給拉開來	B:發亮耶超可愛的	B:只放了三十五秒	B:它有很有趣的名字	B:風吹到台北盆地這邊	B:好像鹽水蜂炮那樣
45,A:要是有什麼事情 我幫你出面解決嘛	B:你還要管我嗎 你已經幫倒忙了	A:你不要這麼說嘛 媽媽又不是一個沒有腦袋的人,B:可是孩子們比較難體會做家長的心情嘛	B:她做事慢吞吞的 跟她一組會受影響啦	B:合群一點好不好	B:你的腦袋就是跟別人想的不一樣	B:上面怎麼有刮痕	B:一碗飯吃了半個小時
46,A:家隆 你怎麼會在這個地方	B:因為這棟房子很可愛 引發了我的好奇心 所以就進來參觀了	A:是露營車的主人請你進來的嗎,B:有人說露營車是成年人的大玩具 因為開這種車出門很好玩的	B:對 這裡是餐廳	B:坐在這個地方 不但可以吃飯聊天 晚上還可以當成床舖睡覺	B:真不賴 想吃東西馬上就可以煮了	B:這部露營車好拉風 不如我們進去參觀參觀吧	B:沒錯 因為我就一直好奇的張望 於是露營車的主人就請我進來參觀了
47,A:阿公 要離開台灣了,A:但在這群人手上 鏟子只有一種用法	A:先祝國內外的大家飛黃騰達了	A:實事求是是外科醫師的特色	A:你也可以直接購買最新貼圖唷	A:我覺得很怪 有一個人不在我旁邊	A:這麼厲害的經營模式 只能幫分享了
48,A:我媽說這個老年人 老人家最經不起這樣摔的啦 很危險啊	B:你現在在說什麼,B:不知道耶	B:這是因為蠶絲被它是一種天然的	B:你說誰是老年人	B:動物性的蛋白纖維	B:苗栗的蠶絲被	B:豆油伯
49,A:大家幫你送行 你自己跑來在這裡	B:我都快被安安煩死,A:你別無聊了好不好	A:你試試看	A:她這麼黏你你是劉德華呀	A:如果四毛醒不過來 他就是植物人	A:你自己怎麼不試呀	A:你今天吃錯藥
50,A:希望我哪天可以跟她一樣 說英文都不會緊張	B:英文是說得很好啦,B:在此我們要特別呼籲年輕朋友	B:廣告過後	B:我替你選一首輕快的歌曲	B:包準你聽了會開心很多的	B:廣告前接聽了千千的電話	B:但她好像太驕傲了
51,A:你在幹嘛 怎麼突然停下來了	B:沒有啦 剛好放空,B:候補也可以出頭天	B:受傷了就要去看醫生接受治療	B:後果可能會更嚴重	B:傷到哪裡了	B:你還有時間放空	B:你在那兩分鐘的獨奏表演
52,A:這個牛山保護區這邊 海岸線又特別的長 沙跟鵝卵石特別的多 所以這種換膚的情況,A:他必須要用竹竿撐竿跳	A:這個叫什麼呢	A:根據我小兵的判斷	A:就特別的明顯	A:還有沒有什麼漂亮的地方	A:沙灘就是沙灘
53,A:我是劉亮宏 我對化學中的奈米科技 很感興趣,B:年紀一大把了	B:你現在正在發育的年紀	B:我們兩個年紀一樣	B:你這種年紀就應該把心思放在讀書上	B:我女兒現在年紀還小	B:我是蕭年艾 科學對我來說是一個 可以滿足我好奇心的領域
54,A:鍾沅	B:幹嘛,A:我知道	A:我有話要跟你講	A:醫院回來以後有好一點了	A:不錯呀 訂單越來越多	A:一個三十幾歲的女人沒有多少時間 好好的去愛一個人了	A:小心一點
55,A:新年快到了 曉書 你過年有沒有什麼計劃呢,B:聽你這麼說 好像很不錯	B:我打算回高雄的老家 全家團圓吃年夜飯	B:你是名副其實的好老公	B:真是讓我大開眼界	B:我有點心動了	B:今兒個我們就要帶大夥 一起去一探究竟吧
56,A:借我你的百發百中重點筆記好不好	B:不好,A:我們看到這個海面	A:拜託啦 你如果借我的話 下次要我做什麼事情我都可以幫你	A:類似的一個酒的一個副產品	A:如果你每次都拿到滿分的話	A:是要讓火車進來還是出去	A:泡在百分之五十尿液裡的蝦子
57,A:賢賢走 我們去放	B:好啊等一下,A:所以很多人就稱它為冬瓜山啦	A:而且也不怕它撞壞啊	A:我們禮拜天要辦成果發表會	A:沒有一個人把我的話說對的啦	A:豆油伯星期天你一定要來捧場	A:輝哥還要等什麼啊
58,A:這種廣告 能把房子賣出去才有鬼 哪個白癡 哪個腦殘想的 該不會是你吧 啊	B:報告賀總 我最近太忙了 只好請新人幫忙 所以真正想廣告詞的是 她,A:上半期啊 大家表現得都不錯	A:妳要多鑽研啊 想冒泡就要多花一點工夫囉	A:各位看這個照片 多麼有精神	A: 這三個字 也是我們賀氏房屋的精神指標	A:妳待會就知道了啦	A:喔 是妳呀 難怪 難怪這麼菜
59,A:等一下我就回去接你跟你媽媽 今天我們全家一起去吃大餐,B:搞不好我哪天朗讀比賽 可以得第一名也說不定	B:故天將降大任於是人也	B:明天你要去比賽	B:中秋晚會跟聖人有什麼關係	B:一個活動怎麼有這麼多的問題	B:好 謝謝爸爸
60,A:那 你會說台語嗎,B:也許這是一種時髦的關係	B:先把衣服換下來	B:我會騎馬	B:所以我一大早 就離開了客棧	B:我會啊	B:炸得四分五裂對不對
61,A:好快喔 一個月又過去了	B:是啊	A:所以我們要好好的把握時間啊 對啊,A:就可以通知你們來救我了	A:不然又多一歲囉	A:後來你怎麼擺脫那台計程車的啊	A:趁紅燈的時候就跳下去啦	A:所以說只要人聰明	A:沒有手機也可以呀
62,A:你說的這位視障豎笛高手 是哪位啊,B:我才不要聽呢	B:你看那裡好乾淨	B:這位豎笛高手的名字叫做胡清祥	B:這怎麼可能發生呢	B:這實在是太難以置信了	B:我家住在台北市
63,A:老師 你先回去好了 我一個人可以照顧爸爸的,B:只可惜你媽不得已 留下了我們先離而去	B:多加休養應該就可以了	B:子寧 你又長大一歲了	B:還記得你小時候過生日 最喜歡的就是媽媽親手給你做的蛋糕	B:子寧 我還是留下來再陪你一會兒好了	B:你還在蘑菇什麼
64,A:是什麼因素 會讓你接觸到藝術方面呢 為什麼,B:其實是有一些巧合啦 那當然我小時候很喜歡戲劇	B:全部都把它寫在網誌上 看看讀者有什麼反應	B:要做低風險 低報酬的加盟型創業	B:吃辣可以增進食慾促進消化 驅寒	B:穩固的治國體制卻從未能建立起來	B:故事主要發生在一個虛幻的大陸
65,A:要不要吃飯 我幫你買,B:那個都是假的	B:什麼什麼沒做	B:這樣要怎麼辦	B:人家不是不讓你處理	B:我真的受不了他	B:不要
66,A:老師 要不要再重新考慮一下	B:有什麼不好的 人家姵蓁很可愛 做事又負責	A:對啊 人家老師才不像你們男生 只會看外表 一點都不成熟,B:俗話說 歹竹出好筍 強調的是後天養成的重要性	B:悲傷放在過去 重新邁向新的生活	B:你們明天要去衝浪嗎	B:你的臉流汗之後 也會這麼狼狽不堪嗎	B:好啊 那你說 你們有祐禎的漂亮和溫柔嗎	B:等一下就要下雨了
67,A:幫助珮綺在班上同學面前建立自信心 這樣才是將功贖罪啊,B:你願不願意回到班上	B:那到我家吧	B:每一個要準備五分鐘	B:你準備得怎麼樣啦	B:我一定會想個好辦法的	B:她很活潑很開朗
68,A:不過這個本氏液是幹嘛用的	B:你不知道喔 來 小中解釋給他聽,C:我們分別把這三支試管 放到這個燒杯裡面隔水加熱	C:你現在就左手拿這一杯水 右手拿這個藥	C:黃大哥 對不起 有眼不識泰山	C:那我就來試試看 它到底有多神秘	C:沒問題 看我的秘密檔案 本氏液它是藍色的液體	C:如果車子有問題 我就牽到路邊修理
69,A:他的名字好像叫做陳明偉 對不對,B:一起來欣賞陳明偉的表演囉	B:沒錯 就是他	B:手語有兩個比法喔	B:每天在學校上完課之後 回到家都要寫作業	B:手指數一二三四五六七八 就是數學	B:英文是許多聽障朋友心中的痛
70,A:打了三十六圈的牌 一天一夜都沒闔眼了	B:不錯嘛 你還記得我們的門牌號碼喔 我以為你迷了路 找不到家了	A:你煩不煩啊 一進門就唸 我看你是睡飽了,B:你是好爸爸 你是一家之主	B:要不是為了等你 我早上就把作業送出去了	B:梁碧珊又不是超人 回家換衣服的速度不可能那麼快吧	B:你還好意思對我大聲啊 你看看現在幾點鐘了	B:你講話可不要這麼難聽喔 我打牌多少也是為了補貼家用	B:還跟我大小聲 你嚇唬誰呀你
71,A:你們兩個會不會太誇張了一點 隨時隨地都看到你們黏在一起	B:我跟珺嵐這麼有默契 借到的東西也一模一樣	A:這樣會被誤會 誰跟你有默契,B:是舒琪 千晏她們有默契	B:希望他可以為大家測量出	B:或做標本用的防腐劑	B:昨天開始的這趟旅程當中	B:劍道越來越退步啊	B:牠們到底在尿液能不能夠存活比較久呢
72,A:蘿拉跟幼華 進行語言交換活動三年多了 每次碰面 幼華都很認真準備資料,A:吃喝等死的日子	A:到底是怎麼回事呢	A:接著牛爾問起兩個孩子	A:聽到一些不愉快的片段	A:讓老牛看到了一些幸福	A:還會想些有趣的活動
73,A:好 裝好了綁腿之後呢 我們還要上這個汗墊	B:汗墊 汗墊是幹嘛的,A:汗墊就是防止它在馬背上的時候 會因為汗而這樣滑來滑去	A:那個看起來更刺激	A:但是這種東西 還是需要長時間練習才對嘛	A:如果耳朵亂動的話 就是代表牠不專心	A:你住在閣樓上	A:那你要不要示範一次給我看
74,A:我們有問題要問你	B:可是老師現在有事情耶,A:謝謝	A:老師老師	A:你換不換	A:我們下次再問好了	A:好嘛好嘛	A:你不要那麼兇嘛
75,A:你曾聽說過你們這裡 有一種怪水嗎,B:怪水什麼怪水	B:以前一直說這是毒龍潭	B:冷冷的泉就是冷泉啊	B:你如果不相信 我等一下使兩套功夫給你看	B:對啊要打的時候 趕快跳過圍牆 就打不到了啊	B:老師這個汽水喝一輩子也喝不完耶
76,A:那你有什麼新發現嗎	B:我發現 其實芳儀不是那麼的嬌弱 以後我不能再把她當溫室的花朵了,B:芳儀她的個性是有柔弱一點 但是沒什麼大問題	B:媽媽有跟老師說 她正在嘗試改變她自己	B:今天陳媽媽來 是特地想要來跟大家說對不起的	B:每個人負責的工作 我貼在黑板上 大家自己來看	B:是啊 孩子的成長是很快速的 適時的放手讓她獨立吧	B:雖然在家裡面 是個霸道的小公主
77,A:曉書 你在做什麼啦你 你幹嘛那麼緊張呢,B:這輛重車該不會是你的吧	B:很高興認識你 我是從白俄羅斯來的	B:這麼精采的故事 怎麼可能會錯過呢	B:我只是在跟重車拍張照	B:你就坐那裡就可以了	B:有很多同學會跟我聊天啊
78,A:今天要介紹一位藝術家朋友 她可是鼎鼎有名 獲獎無數的足畫家喔	B:原來如此啊,A:設計跟施工規範這個部分	A:就是像超商那個部分	A:再把它擴大	A:像最近有人在談超商	A:待會兒就可以欣賞到許多國畫作品	A:是不是也要把它納進來規範
79,A:家裡的生意正在忙需要你 不要一直想要跑到外面去玩好不好,B:不過還是有一些痕跡的	B:我不是要出去玩 我是要去學更多的東西	B:同學們你相信嗎	B:第一次踏上綠島這塊土地	B:那哈瑪星這個地方	B:小中還在認真的走
80,A:怎麼才幾天不見 你的眼睛就變成熊貓眼了,B:你這幾天去哪了	B:美白面膜讓你閃閃動人	B:好看嗎	B:還不是為了要看聽奧啊	B:熊貓跟貓熊一樣嗎	B:幾天是幾天
81,A:媽 我的手好痛 我不能彈琴了啦	B:怎麼會這樣子呢,A:是我太自私了	A:發生什麼事了	A:其實老師也有疏忽	A:明天還要上課	A:就讓少瑄先來伴奏吧	A:要幫我姐姐演奏的婚禮歌曲
82,A:他活該倒楣手錶壞了 你幹嘛幫他修	B:可是如果我沒追他的話 他的錶應該就不會掉吧,A:可惜客人太多了	A:食物通通免費	A:那是他活該	A:我覺得時間不夠多了	A:避免教室孳生蚊蟲	A:不要沉迷於遊戲了
83,A:黃媽媽那是你種的圓葉椒草嗎	B:你也懂得圓葉椒草 一般人只懂得它是盆栽,A:埔里的公路兩旁有很多在賣甘蔗的	A:點燃了哈瑪星璀璨的歲月	A:當然囉 因為我們家也有種 而且我也蠻喜歡植物的	A:這個一切下去的話	A:同學們知道福馬林是什麼嗎	A:我阿公阿嬤從台南來的
84,A:不過現在海上風平浪靜的 好舒服喔,B:輕輕一碰就會爆開	B:沾到這個鬼針草的果實耶	B:是啊 沒什麼浪對不對	B:這小小的挺可愛的	B:讓我散播歡樂散播愛	B:幾乎是每天的中午左右 就會開始一直起霧
85,A:不要說功課沒人管 我看飯也沒得吃	B:你講話憑良心喔 你問碧珊 我是餓著她 還是凍著她了,A:搞不好真的有這種泉水	A:怎麼可以用這種態度對待長輩呢 你這到底是跟誰過不去	A:換作我們任何一位老師 都很難心平氣和	A:講我你自己呢 整天整夜的不在家	A:練功練什麼功啊	A:你還說到嘴角全部都是口水
86,A:因為吊白塊裡面有一種成分叫做福馬林 同學們知道福馬林是什麼嗎	B:用來做標本用的,A:你好聰明喔	A:不過為什麼是我走啊	A:所以大家在買海鮮的時候	A:好可憐總共死了九隻半	A:綠島一年只有六個月的旺季	A:那現在願望也許完啦
87,A:您知道他們在做什麼呢	B:在釣魚 其實是釣小管,A:其實沒有那麼嚴重	A:古城那邊熱鬧一點	A:我這麼大歲數才生這個喔	A:本人比較美嗎	A:有點晚了是不是	A:釣得到嗎
88,A:考得不錯嘛 竟然考八十七分,B:那為什麼還要到處趴趴走	B:補習班怎麼那麼小	B:就沒有辦法好好念	B:她在房間裡讀書	B:奶奶好想你	B:那當然了 我花了超多時間念書
89,A:聽說你以前最重的時候有一百五十公斤啊 是什麼情況	B:去了美國之後的一兩年之內我的食量大增 吃多又懶得運動,A:難怪體重會這麼重	A:我就是做伏地挺身	A:最簡單的方式就是躺在床上	A:體重這樣忽胖忽瘦的	A:最後就是跑步	A:輕鬆多了 效果也不錯喔
90,A:這哪叫做算命啊 你們這些人啊真是太好騙了	B:那什麼才叫真的算命呢,A:算八字啦 測字啊 卜卦啊 還有紫微斗數啊	A:不過同學們一定要有 知命但是不認命的觀念	A:那個胖妹啊真討厭	A:趁你人氣正旺的時候 發點小財啊	A:請看緊自己的荷包 以免遺失貴重物品	A:因為它有蒸氣壓
91,A:你會覺得我們很怪嗎,B:在我胸膛燃燒的都是你	B:這招魂一定要有他的衣服	B:我不想一輩子 一直待在一個小漁村裡面	B:你這裡的東西不錯耶	B:早上有一個歐巴桑 打電話來找你	B:不會啊 我覺得你們很自由
92,A:豆油伯你不要生氣啦 小兵沒有這個意思啦	B:我們這個村子大家都知道 你做人最好 還有童叟無欺,A:打贏的才能得佳人的芳心	A:對啊你才知道啊	A:那我們要開始來做紮架	A:這一個點就是重心的點的位置	A:我也不知道 它就是飛不起來	A:可以把那個圖案畫上去了
93,A:阿伯 你這池裡面有養什麼東西,B:可是一天兩餐 一個月六千 我覺得負擔得起啦	B:我們透過改造牠的生活空間 還有跟牠玩遊戲的時間	B:如果你要直接從牆外面 是絕對看不到的	B:這蘋果聞起來好香喔	B:豆仔魚、花身仔還有蝦子 混養的啦	B:有幾次上台就是發抖 然後口吃
94,A:而對於製作手工娃娃來說 一雙靈活又生動的眼睛,A:所以從在那個信仰裡面	A:融入到國民中小學的課程裡面	A:用學習的心態去	A:可是我在最後放棄了	A:這樣不對喔	A:同樣也是作品成敗的關鍵
95,A:弄這麼高 牠大概也跳不出去啦	B:那跳出去了怎麼辦呢,A:它就像是這台挖土機	A:給我們一個健康的建議	A:接下來要來做個大調查	A:跳出去就讓牠放生囉	A:買一些蔬菜水果回來吃	A:對你的生活有什麼改變或影響嗎
